qid,left_answer,right_answer,changed,left_total_tokens,right_total_tokens,total_delta
fc_a_001,D,ABD,True,0,6420,6420
fc_a_002,A,ABD,True,0,6364,6364
fc_a_003,B,A,True,0,6029,6029
fc_a_004,C,ABD,True,0,6415,6415
fc_a_005,D,ABD,True,0,6147,6147
fc_a_006,B,A,True,0,6173,6173
fc_a_007,A,ABD,True,0,6608,6608
fc_a_009,B,AB,True,0,5950,5950
fc_a_010,B,A,True,0,6018,6018
fc_a_011,B,AC,True,0,6442,6442
fc_a_012,A,AC,True,0,5931,5931
fc_a_013,B,A,True,0,6114,6114
fc_a_014,B,BD,True,0,6770,6770
fc_a_016,C,BC,True,0,5588,5588
fc_a_017,A,AD,True,0,6379,6379
fc_a_020,D,AC,True,0,6440,6440
fin_a_001,C,AB,True,0,5719,5719
fin_a_002,C,AC,True,0,5461,5461
fin_a_003,B,A,True,0,5668,5668
fin_a_004,D,BD,True,0,5562,5562
fin_a_005,D,AC,True,0,6024,6024
fin_a_007,C,BD,True,0,4954,4954
fin_a_009,C,BC,True,0,5268,5268
fin_a_010,B,A,True,0,5507,5507
fin_a_011,C,D,True,0,5914,5914
fin_a_012,D,AD,True,0,5537,5537
fin_a_013,B,A,True,0,6021,6021
fin_a_016,D,ABD,True,0,5436,5436
fin_a_017,A,AC,True,0,5900,5900
fin_a_019,C,BC,True,0,6144,6144
fin_a_020,B,AC,True,0,5549,5549
ins_a_001,D,B,True,0,7358,7358
ins_a_002,D,A,True,0,7146,7146
ins_a_003,C,A,True,0,6557,6557
ins_a_005,C,ABCD,True,0,7031,7031
ins_a_006,D,A,True,0,6536,6536
ins_a_007,C,AC,True,0,6609,6609
ins_a_008,C,AC,True,0,6477,6477
ins_a_010,B,AB,True,0,6617,6617
ins_a_011,B,BC,True,0,6288,6288
ins_a_012,D,A,True,0,6444,6444
ins_a_014,A,ABD,True,0,6778,6778
ins_a_015,B,AB,True,0,6859,6859
ins_a_016,D,CD,True,0,6937,6937
ins_a_017,A,ABCD,True,0,7087,7087
ins_a_018,A,BC,True,0,6667,6667
ins_a_019,A,AD,True,0,6882,6882
ins_a_020,C,D,True,0,6439,6439
reg_a_001,C,ACD,True,0,5851,5851
reg_a_002,B,ABCD,True,0,6109,6109
reg_a_003,B,A,True,0,6409,6409
reg_a_004,B,BCD,True,0,6294,6294
reg_a_005,D,CD,True,0,6883,6883
reg_a_006,B,A,True,0,5870,5870
reg_a_007,C,ACD,True,0,6481,6481
reg_a_008,A,C,True,0,7242,7242
reg_a_009,B,ABD,True,0,6505,6505
reg_a_011,D,ACD,True,0,7245,7245
reg_a_012,D,ABD,True,0,5771,5771
reg_a_013,B,A,True,0,5998,5998
reg_a_014,B,ABD,True,0,6294,6294
reg_a_016,B,ABD,True,0,6747,6747
reg_a_017,A,AB,True,0,5774,5774
reg_a_018,B,A,True,0,5918,5918
reg_a_019,D,BD,True,0,6819,6819
reg_a_020,A,AB,True,0,5927,5927
res_a_001,C,ABC,True,0,6167,6167
res_a_002,B,AC,True,0,6348,6348
res_a_004,C,AD,True,0,5322,5322
res_a_005,D,AD,True,0,6613,6613
res_a_006,B,A,True,0,6060,6060
res_a_007,A,AB,True,0,6221,6221
res_a_009,B,AB,True,0,6197,6197
res_a_010,B,A,True,0,5576,5576
res_a_011,B,ABC,True,0,6381,6381
res_a_012,B,AB,True,0,5929,5929
res_a_014,D,AD,True,0,5931,5931
res_a_015,C,A,True,0,5937,5937
res_a_016,D,ACD,True,0,6369,6369
res_a_017,A,AB,True,0,6362,6362
res_a_018,B,A,True,0,3353,3353
res_a_019,A,AB,True,0,3335,3335
res_a_020,B,AB,True,0,5762,5762
